Country,female_no_education,female_primary,female_secondary,female_tertiary,all_no_education,all_primary,all_secondary,all_tertiary,male_no_education,male_primary,male_secondary,male_tertiary
Afghanistan,78.24,6.86,12.39,2.51,58.38,18.65,16.09,6.88,38.52000000000001,30.439999999999998,19.79,11.25
Albania,4.39,10.72,83.11,1.78,3.28,9.36,85.78,1.59,2.17,7.999999999999998,88.45,1.4000000000000001
Algeria,28.24,36.69,22.52,12.54,21.12,43.9,23.21,11.77,14.000000000000004,51.11,23.900000000000002,11.0
Argentina,1.16,38.88,47.54,12.43,0.93,39.24,48.65,11.18,0.7000000000000002,39.6,49.76,9.93
Armenia,0.46,4.7,74.68,20.16,0.6,5.07,68.89,25.44,0.74,5.44,63.099999999999994,30.720000000000002
Australia,0.8,7.3,57.6,34.3,0.72,7.59,60.71,30.98,0.6399999999999999,7.88,63.82,27.660000000000004
Austria,1.17,30.15,55.96,12.73,1.29,23.39,59.96,15.36,1.4100000000000001,16.630000000000003,63.96,17.99
Bahrain,30.87,8.15,51.85,9.13,28.89,13.33,49.48,8.3,26.91,18.509999999999998,47.10999999999999,7.470000000000001
Bangladesh,35.18,21.46,40.18,3.18,31.88,22.3,41.74,4.09,28.58,23.14,43.300000000000004,5.0
Barbados,0.03,8.8,83.86,7.32,0.22,9.4,85.75,4.63,0.41000000000000003,10.0,87.64,1.9399999999999995
Belgium,5.06,16.24,50.85,27.85,4.67,14.56,53.43,27.34,4.28,12.880000000000003,56.01,26.83
Belize,0.1,14.32,80.14,5.91,0.09,14.38,80.26,5.76,0.07999999999999999,14.440000000000001,80.38000000000001,5.609999999999999
Benin,64.88,14.04,20.07,1.01,53.91,18.66,23.67,3.76,42.94,23.28,27.270000000000003,6.51
Bolivia,14.21,35.68,30.19,19.92,9.82,35.59,33.82,20.78,5.43,35.50000000000001,37.45,21.64
Botswana,10.16,7.43,79.05,3.35,9.83,6.24,80.04,3.89,9.5,5.050000000000001,81.03000000000002,4.43
Brazil,9.46,33.66,46.35,10.53,9.6,35.58,45.47,9.35,9.739999999999998,37.5,44.589999999999996,8.17
Brunei Darussalam,22.23,12.55,54.33,10.88,21.11,12.36,55.28,11.24,19.99,12.169999999999998,56.230000000000004,11.6
Bulgaria,2.89,6.57,66.58,23.96,2.37,5.42,71.1,21.11,1.85,4.27,75.61999999999999,18.259999999999998
Burundi,57.95,33.07,8.49,0.5,50.43,39.35,9.18,1.04,42.91,45.63,9.87,1.58
Cambodia,29.24,55.99,13.21,1.55,22.22,57.88,17.48,2.42,15.2,59.77,21.75,3.29
Cameroon,25.87,48.12,23.56,2.45,20.73,47.91,28.29,3.07,15.59,47.699999999999996,33.019999999999996,3.6899999999999995
Canada,0.7,4.96,47.41,46.93,0.67,4.79,50.63,43.91,0.6400000000000001,4.62,53.85000000000001,40.88999999999999
Central African Republic,63.48,24.31,11.59,0.62,51.59,29.06,17.78,1.57,39.70000000000001,33.81,23.970000000000002,2.52
Chile,2.74,19.36,62.66,15.24,2.57,18.29,64.17,14.97,2.3999999999999995,17.22,65.68,14.700000000000001
China,7.9,26.61,61.44,4.04,5.35,23.71,66.47,4.48,2.799999999999999,20.810000000000002,71.5,4.920000000000001
Colombia,6.18,28.9,43.37,21.54,6.28,29.49,43.7,20.53,6.380000000000001,30.08,44.03000000000001,19.520000000000003
Democratic Republic of Congo,52.86,31.3,15.34,0.5,44.34,31.42,23.37,0.88,35.82000000000001,31.540000000000003,31.400000000000002,1.26
Republic of Congo,36.28,19.82,43.14,0.75,27.48,25.53,45.52,1.47,18.68,31.240000000000002,47.900000000000006,2.19
Costa Rica,4.47,48.47,29.44,17.62,4.67,49.61,28.95,16.78,4.87,50.75,28.459999999999997,15.940000000000001
Cote d'Ivoire,50.74,33.27,12.7,3.29,39.61,37.3,19.07,4.02,28.479999999999997,41.32999999999999,25.44,4.749999999999999
Croatia,2.74,11.14,68.36,17.76,1.8,8.33,72.29,17.58,0.8599999999999999,5.52,76.22000000000001,17.399999999999995
Cuba,8.48,13.8,58.4,19.32,7.67,12.43,60.6,19.3,6.859999999999999,11.059999999999999,62.800000000000004,19.28
Cyprus,1.17,22.87,46.38,29.58,0.74,20.66,49.78,28.82,0.31000000000000005,18.45,53.18,28.060000000000002
Czech Republic,0.11,0.61,85.3,13.98,0.15,0.68,84.34,14.83,0.19,0.7500000000000001,83.38000000000001,15.68
Denmark,2.88,7.61,63.67,25.85,2.64,5.88,66.69,24.81,2.4000000000000004,4.1499999999999995,69.71,23.769999999999996
Dominica,8.26,29.03,53.43,9.28,8.4,30.55,53.12,7.93,8.540000000000001,32.07,52.809999999999995,6.58
Ecuador,9.96,49.55,30.54,9.96,8.52,51.79,30.39,9.31,7.079999999999998,54.03,30.240000000000002,8.66
Egypt,38.25,8.2,44.0,9.55,31.12,9.04,48.1,11.75,23.990000000000002,9.879999999999999,52.2,13.95
El Salvador,3.97,53.77,37.18,5.08,3.72,51.95,38.79,5.54,3.47,50.13,40.4,6.0
Estonia,0.2,5.29,58.38,36.13,0.2,5.32,64.08,30.4,0.2,5.3500000000000005,69.78,24.669999999999995
Eswatini,33.87,36.2,27.19,2.73,32.94,36.18,28.37,2.5,32.01,36.16,29.55,2.27
Fiji,3.24,25.65,59.03,12.08,2.44,26.45,58.87,12.23,1.6399999999999997,27.25,58.709999999999994,12.38
Finland,0.0,0.0,69.87,30.13,0.0,0.0,72.69,27.31,0.0,0.0,75.50999999999999,24.49
France,1.46,19.06,56.03,23.45,1.48,16.58,58.99,22.95,1.5,14.099999999999998,61.95,22.45
Gabon,13.96,27.49,41.7,16.85,14.68,29.48,44.89,10.95,15.399999999999999,31.470000000000002,48.08,5.049999999999997
Gambia,67.9,4.43,26.69,0.99,61.76,4.89,31.71,1.64,55.61999999999999,5.35,36.730000000000004,2.29
Germany,1.96,3.7,77.07,17.28,1.8,3.73,73.0,21.48,1.6400000000000001,3.76,68.93,25.68
Ghana,37.07,12.71,48.7,1.53,30.41,11.74,55.2,2.64,23.75,10.77,61.7,3.75
Greece,3.44,33.36,38.88,24.33,2.51,31.05,41.68,24.75,1.5799999999999996,28.740000000000002,44.48,25.17
Guatemala,28.16,49.86,21.98,0.0,23.4,54.0,22.6,0.0,18.639999999999997,58.14,23.220000000000002,0.0
Guyana,4.83,28.95,65.82,0.4,4.79,34.97,59.83,0.41,4.75,40.989999999999995,53.84,0.41999999999999993
Haiti,36.6,39.36,22.74,1.29,25.74,45.35,27.98,0.92,14.879999999999995,51.34,33.22,0.55
Honduras,13.69,46.88,35.89,3.54,13.58,48.48,34.4,3.54,13.47,50.07999999999999,32.91,3.54
Hong Kong,7.54,17.81,58.15,16.5,5.38,16.96,59.62,18.05,3.2199999999999998,16.110000000000003,61.089999999999996,19.6
Hungary,0.32,2.34,79.13,18.21,0.29,1.95,80.58,17.18,0.25999999999999995,1.56,82.03,16.15
Iceland,1.49,27.74,40.1,30.67,1.56,30.05,38.06,30.33,1.6300000000000001,32.36,36.02,29.989999999999995
India,47.22,13.95,33.23,5.6,33.16,16.82,41.53,8.5,19.099999999999994,19.69,49.830000000000005,11.4
Indonesia,10.54,44.83,38.49,6.13,7.5,44.17,41.94,6.4,4.460000000000001,43.510000000000005,45.38999999999999,6.670000000000001
Iran,17.24,17.1,47.29,18.36,14.18,17.31,49.11,19.39,11.120000000000001,17.519999999999996,50.93,20.42
Iraq,33.9,25.5,28.35,12.24,24.72,27.08,32.05,16.15,15.54,28.659999999999997,35.74999999999999,20.059999999999995
Ireland,0.66,16.83,40.79,41.72,0.73,17.35,41.83,40.09,0.7999999999999999,17.870000000000005,42.87,38.46000000000001
Israel,3.58,10.61,47.99,37.82,2.54,10.52,51.93,35.01,1.5,10.43,55.87,32.199999999999996
Italy,7.51,20.12,60.84,11.54,5.61,17.68,65.64,11.06,3.710000000000001,15.239999999999998,70.44,10.580000000000002
Jamaica,5.75,15.53,61.08,17.64,5.71,16.47,63.11,14.7,5.67,17.409999999999997,65.14,11.759999999999998
