Country of origin,Location Description,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other
Afghanistan,California,0,0,5,19,0,0,0,0,0,47,5,5
Afghanistan,Maryland,0,0,0,5,0,0,0,0,0,5,0,0
Afghanistan,Massachusetts,0,0,0,5,0,0,0,0,0,0,0,0
Afghanistan,New Jersey,0,0,0,0,0,0,0,5,0,5,0,0
Afghanistan,New York,0,0,0,11,0,0,0,0,0,30,0,0
Afghanistan,Texas,0,0,0,5,0,0,0,0,0,13,0,0
Afghanistan,Virginia,0,0,0,12,0,0,0,0,0,32,0,0
Afghanistan,Illinois,0,0,0,5,0,0,0,0,0,0,0,0
Afghanistan,Pennsylvania,0,0,0,0,0,0,0,0,0,5,0,0
Albania,Florida,0,0,0,6,0,5,0,0,0,0,0,0
Albania,Illinois,0,0,0,7,0,0,0,0,0,6,0,5
Albania,Massachusetts,0,0,5,5,0,0,0,0,0,7,0,0
Albania,New Jersey,0,0,5,9,0,0,0,0,5,25,0,5
Albania,New York,0,23,19,275,7,16,0,19,24,390,18,51
Albania,Pennsylvania,0,0,0,7,0,0,0,0,0,5,0,0
Albania,Texas,0,0,0,0,0,5,0,0,0,0,0,0
Algeria,California,0,0,0,0,0,0,0,0,0,11,0,0
Algeria,Illinois,0,0,0,7,0,0,0,0,5,7,0,0
Algeria,Massachusetts,0,0,0,5,0,0,0,0,0,0,0,0
Algeria,New Jersey,0,0,0,9,0,0,0,6,0,15,0,0
Algeria,New York,0,0,0,5,0,0,0,0,0,7,0,0
Algeria,Pennsylvania,0,0,6,10,0,0,0,5,0,24,0,0
Algeria,Texas,0,0,0,0,0,0,0,0,0,5,0,0
Angola,Florida,0,0,8,0,0,0,0,8,0,7,0,0
Angola,Illinois,0,5,0,10,0,0,0,0,5,8,0,0
Angola,Maryland,0,0,0,0,0,0,0,0,0,5,0,0
Angola,Massachusetts,0,6,0,6,0,0,0,0,0,10,0,0
Angola,New Jersey,0,0,5,0,0,0,0,0,0,0,0,5
Angola,New York,0,5,0,16,0,0,0,0,5,19,0,0
Angola,Pennsylvania,0,0,0,6,0,0,0,0,6,9,0,0
Angola,Texas,0,7,8,21,0,5,0,6,0,53,0,0
Angola,Virginia,0,0,5,0,0,0,0,0,0,5,0,0
Antigua and Barbuda,Maryland,0,0,0,0,0,0,0,0,0,8,0,0
Egypt,California,0,14,20,113,5,5,0,16,24,160,16,11
Egypt,Florida,0,0,20,86,0,0,0,10,24,95,6,5
Egypt,Illinois,0,0,5,27,0,0,0,0,9,44,0,0
Egypt,Maryland,0,0,0,11,0,0,0,0,0,11,0,0
Egypt,Massachusetts,0,12,0,24,0,0,0,0,12,39,0,0
Egypt,New Jersey,0,12,13,80,5,0,0,14,28,121,5,5
Egypt,New York,0,0,13,37,0,10,0,5,5,76,5,10
Egypt,Pennsylvania,0,0,0,20,0,0,0,0,5,21,0,0
Egypt,Texas,0,5,11,38,0,0,0,0,13,59,6,5
Egypt,Virginia,0,0,10,26,0,0,0,0,14,34,0,0
Argentina,California,5,0,0,6,0,0,0,6,0,9,0,0
Argentina,Florida,9,5,0,16,5,0,8,5,0,22,5,0
Argentina,Illinois,0,0,0,0,0,0,0,0,0,8,0,0
Argentina,Maryland,0,0,5,0,0,0,0,0,0,0,0,0
Argentina,Massachusetts,0,6,0,0,0,0,0,0,0,0,0,0
Argentina,New Jersey,5,0,0,6,0,0,0,0,0,7,0,5
Argentina,New York,0,5,0,5,0,0,0,5,0,8,0,0
Argentina,Pennsylvania,0,0,0,0,0,0,0,0,0,5,0,0
Argentina,Texas,5,0,0,5,0,0,0,7,0,0,0,0
Argentina,Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,California,30,73,71,616,39,50,24,114,117,914,33,79
Armenia,Florida,0,0,0,11,0,0,0,0,0,0,0,0
Armenia,Maryland,0,0,0,0,0,0,0,0,0,5,0,0
Armenia,Massachusetts,0,0,5,0,0,0,0,0,0,5,0,0
Armenia,New Jersey,0,0,0,0,0,0,0,0,0,8,0,0
Armenia,New York,0,0,0,15,0,0,0,0,0,26,0,0
Armenia,Pennsylvania,0,0,0,0,0,0,0,0,0,5,0,0
Armenia,Texas,0,0,0,0,0,5,0,0,0,0,0,0
Azerbaijan,California,0,7,5,20,0,0,0,0,12,45,0,5
Azerbaijan,Florida,0,0,5,0,0,0,0,0,0,15,0,0
Azerbaijan,Illinois,0,0,0,6,0,0,0,0,0,0,0,0
Azerbaijan,Maryland,0,0,8,0,0,0,0,0,0,0,0,0
Azerbaijan,Massachusetts,0,0,0,7,0,0,0,5,0,7,0,0
Azerbaijan,New Jersey,0,0,0,5,0,0,0,0,0,5,0,0
Azerbaijan,New York,0,0,0,16,0,0,0,0,6,23,0,0
Azerbaijan,Pennsylvania,0,0,0,9,0,0,0,0,0,12,0,0
Azerbaijan,Texas,0,0,0,5,0,0,0,5,0,6,0,0
Azerbaijan,Virginia,0,0,0,19,0,0,0,5,0,6,0,0
Bahrain,California,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,New York,0,0,0,5,0,0,0,0,0,0,0,0
Burundi,Maryland,0,0,0,7,0,0,0,0,0,8,0,0
Burundi,Massachusetts,0,0,0,8,0,0,0,0,0,5,0,0
Burundi,New York,0,0,0,5,0,0,0,0,0,0,0,0
Burundi,Texas,0,0,0,13,0,0,0,0,0,14,0,0
Burundi,Illinois,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,New Jersey,0,0,0,0,0,0,0,0,0,0,0,5
Burundi,Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Virginia,0,7,0,0,0,0,0,0,0,0,0,0
Belgium,Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0
Benin,California,0,0,0,0,0,0,0,5,0,0,0,0
Benin,Illinois,0,0,0,5,0,0,0,0,0,8,0,0
Benin,Maryland,0,0,0,8,0,0,0,0,0,0,0,0
Benin,New York,0,0,0,6,0,0,0,0,0,9,0,0
Benin,Pennsylvania,0,0,0,0,0,0,0,0,0,5,0,0
Benin,Texas,0,0,0,0,0,0,0,0,0,5,0,0
Bangladesh,California,0,0,9,38,0,0,0,0,9,111,6,13
Bangladesh,Florida,0,0,5,8,0,0,0,0,5,53,0,14
Bangladesh,Illinois,0,0,5,0,0,0,0,0,0,11,0,0
Bangladesh,Maryland,0,0,0,12,0,0,0,0,0,36,0,5
Bangladesh,Massachusetts,0,0,0,5,0,0,0,0,0,12,0,5
Bangladesh,New Jersey,0,7,0,21,0,0,0,0,5,56,0,11
Bangladesh,New York,8,26,40,287,0,19,16,26,48,2096,25,648
Bangladesh,Pennsylvania,0,0,5,21,0,0,0,0,5,37,0,10
Bangladesh,Texas,0,0,0,8,0,0,0,0,5,40,0,13
Bangladesh,Virginia,0,0,0,10,0,0,0,5,0,54,0,14
Bahamas,Florida,0,9,0,12,0,0,0,0,8,23,0,0
Bhutan,New York,0,0,0,5,0,0,0,0,0,7,0,0
Burkina Faso,Illinois,0,0,0,0,0,0,0,0,0,8,0,0
Burkina Faso,Maryland,0,0,5,5,0,0,0,0,0,6,0,0
Burkina Faso,New Jersey,0,0,0,41,0,0,0,5,0,74,0,8
